Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
,06/04/2025 00:00,21677.75,21696.25,21676.0,21678.0,0.0,0.0,0,N/A
,06/04/2025 01:00,21678.0,21695.5,21673.5,21695.0,17.0,0.08,1937,N/A
,06/04/2025 02:00,21695.25,21715.25,21680.25,21691.0,-4.0,-0.02,4539,N/A
,06/04/2025 03:00,21691.75,21722.25,21674.5,21720.75,29.75,0.14,5042,N/A
,06/04/2025 04:00,21720.5,21748.75,21713.75,21718.0,-2.75,-0.01,7200,N/A
,06/04/2025 05:00,21718.0,21745.75,21717.5,21736.25,18.25,0.08,4761,N/A
,06/04/2025 06:00,21736.5,21763.0,21719.75,21750.25,14.0,0.06,6184,N/A
,06/04/2025 07:00,21749.25,21756.0,21727.25,21747.0,-3.25,-0.01,5043,N/A
,06/04/2025 08:00,21748.0,21767.0,21655.5,21708.5,-38.5,-0.18,21284,N/A
,06/04/2025 09:00,21709.5,21790.5,21699.5,21754.0,45.5,0.21,51589,N/A
,06/04/2025 10:00,21746.0,21764.25,21641.0,21761.0,7.0,0.03,73463,N/A
,06/04/2025 11:00,21761.25,21784.5,21731.75,21754.25,-6.75,-0.03,43105,N/A
,06/04/2025 12:00,21753.75,21758.0,21707.25,21754.25,0.0,0.0,35025,N/A
,06/04/2025 13:00,21754.25,21787.0,21752.75,21786.0,31.75,0.15,26771,N/A
,06/04/2025 14:00,21785.75,21803.0,21771.75,21782.75,-3.25,-0.01,30587,N/A
,06/04/2025 15:00,21783.0,21798.25,21748.25,21757.5,-25.25,-0.12,43425,N/A
,06/04/2025 16:00,21757.5,21764.75,21740.25,21748.0,-9.5,-0.04,14541,N/A
,06/04/2025 18:00,21744.75,21772.5,21731.75,21750.75,2.75,0.01,0,N/A
,06/04/2025 19:00,21751.0,21759.0,21737.0,21741.0,-9.75,-0.04,2438,N/A
,06/04/2025 20:00,21742.0,21766.75,21738.25,21744.5,3.5,0.02,3092,N/A
,06/04/2025 21:00,21746.0,21757.25,21730.75,21756.75,12.25,0.06,3237,N/A
